text,intent
"I'd like to know the interest rate for my savings account, please.",check_interest_rate
Can you inform me about the interest rate on my savings account?,check_interest_rate
What's the current interest rate for my savings account?,check_interest_rate
I'm curious about the interest rate for my savings account. Can you check?,check_interest_rate
Please provide information on the interest rate for my savings account.,check_interest_rate
Could you tell me the current interest rate on my savings account?,check_interest_rate
What is the interest rate for my savings account at the moment?,check_interest_rate
Can you give me details about the interest rate on my savings account?,check_interest_rate
I'd like to inquire about the interest rate on my savings account.,check_interest_rate
Could you please check the interest rate for my savings account?,check_interest_rate
I'm interested in knowing the interest rate on my savings account.,check_interest_rate
What's the interest rate on my savings account currently?,check_interest_rate
Can you provide me with the interest rate for my savings account?,check_interest_rate
Could you inform me of the interest rate on my savings account?,check_interest_rate
Please check and tell me the interest rate for my savings account.,check_interest_rate
I want to know the interest rate for my savings account. Can you assist?,check_interest_rate
What's the current interest rate on my savings account?,check_interest_rate
Could you provide details about the interest rate for my savings account?,check_interest_rate
Can you give me information on the interest rate for my savings account?,check_interest_rate
